combination_id,list_of_advanced_third_placed_teams,1A,1B,1D,1E,1G,1I,1K,1L
C130,"['B', 'C', 'D', 'F', 'G', 'H', 'I', 'J']",3H,3G,3B,3C,3J,3F,3D,3I
C131,"['B', 'C', 'D', 'E', 'I', 'J', 'K', 'L']",3E,3J,3B,3C,3I,3D,3L,3K
C132,"['B', 'C', 'D', 'E', 'H', 'J', 'K', 'L']",3E,3J,3B,3C,3H,3D,3L,3K
C133,"['B', 'C', 'D', 'E', 'H', 'I', 'K', 'L']",3E,3I,3B,3C,3H,3D,3L,3K
C134,"['B', 'C', 'D', 'E', 'H', 'I', 'J', 'L']",3E,3J,3B,3C,3H,3D,3L,3I
C135,"['B', 'C', 'D', 'E', 'H', 'I', 'J', 'K']",3E,3J,3B,3C,3H,3D,3I,3K
C136,"['B', 'C', 'D', 'E', 'G', 'J', 'K', 'L']",3E,3G,3B,3C,3J,3D,3L,3K
C137,"['B', 'C', 'D', 'E', 'G', 'I', 'K', 'L']",3E,3G,3B,3C,3I,3D,3L,3K
C138,"['B', 'C', 'D', 'E', 'G', 'I', 'J', 'L']",3E,3G,3B,3C,3J,3D,3L,3I
C139,"['B', 'C', 'D', 'E', 'G', 'I', 'J', 'K']",3E,3G,3B,3C,3J,3D,3I,3K
C140,"['B', 'C', 'D', 'E', 'G', 'H', 'K', 'L']",3E,3G,3B,3C,3H,3D,3L,3K
C141,"['B', 'C', 'D', 'E', 'G', 'H', 'J', 'L']",3H,3G,3B,3C,3J,3D,3L,3E
C142,"['B', 'C', 'D', 'E', 'G', 'H', 'J', 'K']",3H,3G,3B,3C,3J,3D,3E,3K
C143,"['B', 'C', 'D', 'E', 'G', 'H', 'I', 'L']",3E,3G,3B,3C,3H,3D,3L,3I
C144,"['B', 'C', 'D', 'E', 'G', 'H', 'I', 'K']",3E,3G,3B,3C,3H,3D,3I,3K
C145,"['B', 'C', 'D', 'E', 'G', 'H', 'I', 'J']",3H,3G,3B,3C,3J,3D,3E,3I
C146,"['B', 'C', 'D', 'E', 'F', 'J', 'K', 'L']",3C,3J,3B,3D,3E,3F,3L,3K
C147,"['B', 'C', 'D', 'E', 'F', 'I', 'K', 'L']",3C,3E,3B,3D,3I,3F,3L,3K
C148,"['B', 'C', 'D', 'E', 'F', 'I', 'J', 'L']",3C,3J,3B,3D,3E,3F,3L,3I
C149,"['B', 'C', 'D', 'E', 'F', 'I', 'J', 'K']",3C,3J,3B,3D,3E,3F,3I,3K
C150,"['B', 'C', 'D', 'E', 'F', 'H', 'K', 'L']",3C,3E,3B,3D,3H,3F,3L,3K
C151,"['B', 'C', 'D', 'E', 'F', 'H', 'J', 'L']",3C,3J,3B,3D,3H,3F,3L,3E
C152,"['B', 'C', 'D', 'E', 'F', 'H', 'J', 'K']",3C,3J,3B,3D,3H,3F,3E,3K
C153,"['B', 'C', 'D', 'E', 'F', 'H', 'I', 'L']",3C,3E,3B,3D,3H,3F,3L,3I
C154,"['B', 'C', 'D', 'E', 'F', 'H', 'I', 'K']",3C,3E,3B,3D,3H,3F,3I,3K
C155,"['B', 'C', 'D', 'E', 'F', 'H', 'I', 'J']",3C,3J,3B,3D,3H,3F,3E,3I
C156,"['B', 'C', 'D', 'E', 'F', 'G', 'K', 'L']",3C,3G,3B,3D,3E,3F,3L,3K
C157,"['B', 'C', 'D', 'E', 'F', 'G', 'J', 'L']",3C,3G,3B,3D,3J,3F,3L,3E
C158,"['B', 'C', 'D', 'E', 'F', 'G', 'J', 'K']",3C,3G,3B,3D,3J,3F,3E,3K
C159,"['B', 'C', 'D', 'E', 'F', 'G', 'I', 'L']",3C,3G,3B,3D,3E,3F,3L,3I
C160,"['B', 'C', 'D', 'E', 'F', 'G', 'I', 'K']",3C,3G,3B,3D,3E,3F,3I,3K
C161,"['B', 'C', 'D', 'E', 'F', 'G', 'I', 'J']",3C,3G,3B,3D,3J,3F,3E,3I
C162,"['B', 'C', 'D', 'E', 'F', 'G', 'H', 'L']",3C,3G,3B,3D,3H,3F,3L,3E
C163,"['B', 'C', 'D', 'E', 'F', 'G', 'H', 'K']",3C,3G,3B,3D,3H,3F,3E,3K
C164,"['B', 'C', 'D', 'E', 'F', 'G', 'H', 'J']",3H,3G,3B,3C,3J,3F,3D,3E
C165,"['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",3C,3G,3B,3D,3H,3F,3E,3I
C166,"['A', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",3H,3J,3I,3F,3A,3G,3L,3K
C167,"['A', 'E', 'G', 'H', 'I', 'J', 'K', 'L']",3E,3J,3I,3A,3H,3G,3L,3K
C168,"['A', 'E', 'F', 'H', 'I', 'J', 'K', 'L']",3E,3J,3I,3F,3A,3H,3L,3K
C169,"['A', 'E', 'F', 'G', 'I', 'J', 'K', 'L']",3E,3J,3I,3F,3A,3G,3L,3K
C170,"['A', 'E', 'F', 'G', 'H', 'J', 'K', 'L']",3E,3G,3J,3F,3A,3H,3L,3K
C171,"['A', 'E', 'F', 'G', 'H', 'I', 'K', 'L']",3E,3G,3I,3F,3A,3H,3L,3K
C172,"['A', 'E', 'F', 'G', 'H', 'I', 'J', 'L']",3E,3G,3J,3F,3A,3H,3L,3I
C173,"['A', 'E', 'F', 'G', 'H', 'I', 'J', 'K']",3E,3G,3J,3F,3A,3H,3I,3K
C174,"['A', 'D', 'G', 'H', 'I', 'J', 'K', 'L']",3H,3J,3I,3D,3A,3G,3L,3K
C175,"['A', 'D', 'F', 'H', 'I', 'J', 'K', 'L']",3H,3J,3I,3D,3A,3F,3L,3K
C176,"['A', 'D', 'F', 'G', 'I', 'J', 'K', 'L']",3I,3G,3J,3D,3A,3F,3L,3K
C177,"['A', 'D', 'F', 'G', 'H', 'J', 'K', 'L']",3H,3G,3J,3D,3A,3F,3L,3K
C178,"['A', 'D', 'F', 'G', 'H', 'I', 'K', 'L']",3H,3G,3I,3D,3A,3F,3L,3K
C179,"['A', 'D', 'F', 'G', 'H', 'I', 'J', 'L']",3H,3G,3J,3D,3A,3F,3L,3I
C180,"['A', 'D', 'F', 'G', 'H', 'I', 'J', 'K']",3H,3G,3J,3D,3A,3F,3I,3K
C181,"['A', 'D', 'E', 'H', 'I', 'J', 'K', 'L']",3E,3J,3I,3D,3A,3H,3L,3K
C182,"['A', 'D', 'E', 'G', 'I', 'J', 'K', 'L']",3E,3J,3I,3D,3A,3G,3L,3K
C183,"['A', 'D', 'E', 'G', 'H', 'J', 'K', 'L']",3E,3G,3J,3D,3A,3H,3L,3K
C184,"['A', 'D', 'E', 'G', 'H', 'I', 'K', 'L']",3E,3G,3I,3D,3A,3H,3L,3K
C185,"['A', 'D', 'E', 'G', 'H', 'I', 'J', 'L']",3E,3G,3J,3D,3A,3H,3L,3I
C186,"['A', 'D', 'E', 'G', 'H', 'I', 'J', 'K']",3E,3G,3J,3D,3A,3H,3I,3K
C187,"['A', 'D', 'E', 'F', 'I', 'J', 'K', 'L']",3E,3J,3I,3D,3A,3F,3L,3K
C188,"['A', 'D', 'E', 'F', 'H', 'J', 'K', 'L']",3H,3J,3E,3D,3A,3F,3L,3K
C189,"['A', 'D', 'E', 'F', 'H', 'I', 'K', 'L']",3H,3E,3I,3D,3A,3F,3L,3K
C190,"['A', 'D', 'E', 'F', 'H', 'I', 'J', 'L']",3H,3J,3E,3D,3A,3F,3L,3I
C191,"['A', 'D', 'E', 'F', 'H', 'I', 'J', 'K']",3H,3J,3E,3D,3A,3F,3I,3K
C192,"['A', 'D', 'E', 'F', 'G', 'J', 'K', 'L']",3E,3G,3J,3D,3A,3F,3L,3K
C193,"['A', 'D', 'E', 'F', 'G', 'I', 'K', 'L']",3E,3G,3I,3D,3A,3F,3L,3K
C194,"['A', 'D', 'E', 'F', 'G', 'I', 'J', 'L']",3E,3G,3J,3D,3A,3F,3L,3I
C195,"['A', 'D', 'E', 'F', 'G', 'I', 'J', 'K']",3E,3G,3J,3D,3A,3F,3I,3K
C196,"['A', 'D', 'E', 'F', 'G', 'H', 'K', 'L']",3H,3G,3E,3D,3A,3F,3L,3K
C197,"['A', 'D', 'E', 'F', 'G', 'H', 'J', 'L']",3H,3G,3J,3D,3A,3F,3L,3E
C198,"['A', 'D', 'E', 'F', 'G', 'H', 'J', 'K']",3H,3G,3J,3D,3A,3F,3E,3K
C199,"['A', 'D', 'E', 'F', 'G', 'H', 'I', 'L']",3H,3G,3E,3D,3A,3F,3L,3I
C200,"['A', 'D', 'E', 'F', 'G', 'H', 'I', 'K']",3H,3G,3E,3D,3A,3F,3I,3K
C201,"['A', 'D', 'E', 'F', 'G', 'H', 'I', 'J']",3H,3G,3J,3D,3A,3F,3E,3I
C202,"['A', 'C', 'G', 'H', 'I', 'J', 'K', 'L']",3H,3J,3I,3C,3A,3G,3L,3K
C203,"['A', 'C', 'F', 'H', 'I', 'J', 'K', 'L']",3H,3J,3I,3C,3A,3F,3L,3K
C204,"['A', 'C', 'F', 'G', 'I', 'J', 'K', 'L']",3I,3G,3J,3C,3A,3F,3L,3K
C205,"['A', 'C', 'F', 'G', 'H', 'J', 'K', 'L']",3H,3G,3J,3C,3A,3F,3L,3K
C206,"['A', 'C', 'F', 'G', 'H', 'I', 'K', 'L']",3H,3G,3I,3C,3A,3F,3L,3K
C207,"['A', 'C', 'F', 'G', 'H', 'I', 'J', 'L']",3H,3G,3J,3C,3A,3F,3L,3I
C208,"['A', 'C', 'F', 'G', 'H', 'I', 'J', 'K']",3H,3G,3J,3C,3A,3F,3I,3K
C209,"['A', 'C', 'E', 'H', 'I', 'J', 'K', 'L']",3E,3J,3I,3C,3A,3H,3L,3K
C210,"['A', 'C', 'E', 'G', 'I', 'J', 'K', 'L']",3E,3J,3I,3C,3A,3G,3L,3K
C211,"['A', 'C', 'E', 'G', 'H', 'J', 'K', 'L']",3E,3G,3J,3C,3A,3H,3L,3K
C212,"['A', 'C', 'E', 'G', 'H', 'I', 'K', 'L']",3E,3G,3I,3C,3A,3H,3L,3K
C213,"['A', 'C', 'E', 'G', 'H', 'I', 'J', 'L']",3E,3G,3J,3C,3A,3H,3L,3I
C214,"['A', 'C', 'E', 'G', 'H', 'I', 'J', 'K']",3E,3G,3J,3C,3A,3H,3I,3K
C215,"['A', 'C', 'E', 'F', 'I', 'J', 'K', 'L']",3E,3J,3I,3C,3A,3F,3L,3K
C216,"['A', 'C', 'E', 'F', 'H', 'J', 'K', 'L']",3H,3J,3E,3C,3A,3F,3L,3K
C217,"['A', 'C', 'E', 'F', 'H', 'I', 'K', 'L']",3H,3E,3I,3C,3A,3F,3L,3K
C218,"['A', 'C', 'E', 'F', 'H', 'I', 'J', 'L']",3H,3J,3E,3C,3A,3F,3L,3I
C219,"['A', 'C', 'E', 'F', 'H', 'I', 'J', 'K']",3H,3J,3E,3C,3A,3F,3I,3K
C220,"['A', 'C', 'E', 'F', 'G', 'J', 'K', 'L']",3E,3G,3J,3C,3A,3F,3L,3K
C221,"['A', 'C', 'E', 'F', 'G', 'I', 'K', 'L']",3E,3G,3I,3C,3A,3F,3L,3K
C222,"['A', 'C', 'E', 'F', 'G', 'I', 'J', 'L']",3E,3G,3J,3C,3A,3F,3L,3I
